batch_id,item_id,current_decision,current_policy,current_material,current_process,audit_verdict,proposed_decision,proposed_policy,severity,issue_type,reasoning,recommended_edit
route_batch_04,ebf3_axis_home_sensor_target_set,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_sheet,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity treatment is appropriate: steel_plate_or_sheet is lunar-plausible, Ready blank-tag machines support basic fabrication, and the row explicitly carries performance risk for repeatable sensor target geometry; stable mounting; nonmagnetic or known magnetic response if sensor type requires it.",Keep as sensitivity_flag; do not promote to clean local unless the named performance checks are closed.
route_batch_04,ebf3_ball_nut_body_set,defer_import_fallback,import_until_gap_resolved,hardened_bearing_steel,ball_screw_fabrication_v0,change,route_gap,import_until_gap_resolved,material,unclear_boundary,"Ball nut body is not merely a low-priority import fallback: bearing-grade race geometry, preload, hardening, finish, and vacuum lubrication are core local manufacturing gaps, and the cited ball-screw route is not Ready.","Reclassify as route_gap so the first simulation imports it until a precision ball-nut route, heat treatment, grinding, and QA are closed."
route_batch_04,ebf3_x_axis_ball_screw_shaft,defer_import_fallback,import_until_gap_resolved,hardened_steel_bar,steel_shaft_machining_v1,change,route_gap,import_until_gap_resolved,material,unclear_boundary,"A ball-screw shaft is a precision motion element; local steel stock does not close lead accuracy, ground thread/race finish, hardness, straightness, or lubricant interface, and secondary grinding is non-Ready.",Reclassify as route_gap aligned with the other ball-screw shaft rows; import until precision screw grinding and inspection routes exist.
route_batch_04,ebf3_beam_current_return_flexible_conductor,defer_import_fallback,import_until_gap_resolved,aluminum_flexible_conductor,metal_wire_drawing_process_v0,change,route_gap,import_until_gap_resolved,material,unclear_boundary,"Aluminum is a plausible lunar conductor, but flexible high-current braid/strap fabrication, terminations, contact resistance, thermal cycling, and vacuum insulation/clearance are explicit process and performance gaps.","Use route_gap rather than defer_import_fallback; keep import_until_gap_resolved until wire/braid drawing, termination tooling, and current-return qualification are modeled."
route_batch_04,ebf3_cabin_access_door_hinge_bushing_or_bearing_set,lunar_candidate_flagged,sensitivity_flag,steel_bushing_or_bearing_steel,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity treatment is appropriate: steel_bushing_or_bearing_steel is lunar-plausible, Ready blank-tag machines support basic fabrication, and the row explicitly carries performance risk for hinge load; wear clearance; galling control; dry or vacuum compatible lubrication.",Keep as sensitivity_flag; do not promote to clean local unless the named performance checks are closed.
route_batch_04,ebf3_cabin_access_door_latch_fastener_interface_set,lunar_candidate_flagged,sensitivity_flag,steel_fastener_interface,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity treatment is appropriate: steel_fastener_interface is lunar-plausible, Ready blank-tag machines support basic fabrication, and the row explicitly carries performance risk for latch strength; thread fit; vibration retention.",Keep as sensitivity_flag; do not promote to clean local unless the named performance checks are closed.
route_batch_04,ebf3_cabin_access_door_latch_strike_or_bar_set,lunar_candidate_flagged,sensitivity_flag,steel_bar_or_strike,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity treatment is appropriate: steel_bar_or_strike is lunar-plausible, Ready blank-tag machines support basic fabrication, and the row explicitly carries performance risk for latch load path; wear face hardness; door alignment tolerance.",Keep as sensitivity_flag; do not promote to clean local unless the named performance checks are closed.
route_batch_04,ebf3_cabin_gun_port_flange_ring,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_ring,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity treatment is appropriate: steel_plate_or_ring is lunar-plausible, Ready blank-tag machines support basic fabrication, and the row explicitly carries performance risk for vacuum sealing face flatness; bolt circle accuracy; low distortion; electron gun alignment stability.",Keep as sensitivity_flag; do not promote to clean local unless the named performance checks are closed.
route_batch_04,ebf3_cabin_positioning_floor_mount_plate,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_sheet,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity treatment is appropriate: steel_plate_or_sheet is lunar-plausible, Ready blank-tag machines support basic fabrication, and the row explicitly carries performance risk for flatness; hole pattern tolerance; stiffness under positioning loads; vacuum compatible surface.",Keep as sensitivity_flag; do not promote to clean local unless the named performance checks are closed.
route_batch_04,ebf3_cabin_wire_feeder_port_flange_ring,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_ring,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity treatment is appropriate: steel_plate_or_ring is lunar-plausible, Ready blank-tag machines support basic fabrication, and the row explicitly carries performance risk for vacuum sealing face flatness; feedthrough alignment; bolt preload retention.",Keep as sensitivity_flag; do not promote to clean local unless the named performance checks are closed.
