batch_id,item_id,parent_ids,source_queue_type,mass_nominal_kg,route_material_basis,availability_class,route_decision,primary_process_id,secondary_process_ids,ready_machine_ids,blocked_machine_or_process_reason,critical_performance_requirements,simulation_import_mass_policy,confidence,flags,reasoning_brief
route_batch_04,ebf3_axis_home_sensor_target_set,ebf3_axis_home_sensors,existing_route_as_leaf,0.08,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,machining_basic_v0,assembly_basic_v0,multi_axis_cnc_machining_center;labor_bot_general_v0;assembly_tools_basic,none,repeatable sensor target geometry; stable mounting; nonmagnetic or known magnetic response if sensor type requires it,sensitivity_flag,medium,performance_flag:motion;performance_flag:circuit;candidate_fit:none,Small steel target is locally machinable with Ready CNC and assembly tools but sensor repeatability makes it a flagged local route.
route_batch_04,ebf3_ball_nut_body_set,ebf3_ball_nuts,existing_route_as_leaf,1.1,hardened_bearing_steel,local_derived,defer_import_fallback,ball_screw_fabrication_v0,precision_grinding_basic_v0,labor_bot_general_v0,KB ball_screw_fabrication_v0 needs precision_lathe not Ready and precision grinding route needs surface_grinder and grinding_wheels not Ready,preload class; thread geometry; race hardness; low backlash; vacuum compatible lubrication,import_until_gap_resolved,medium,performance_flag:precision_motion;candidate_fit:accuracy_risk,Material is lunar-derived steel in principle but ball nut accuracy and finishing are not supported by Ready machines for first simulation closure.
route_batch_04,ebf3_x_axis_ball_screw_shaft,ebf3_ball_screw_shafts,existing_route_as_leaf,1,hardened_steel_bar,local_derived,defer_import_fallback,steel_shaft_machining_v1,precision_grinding_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,Secondary precision grinding uses surface_grinder and grinding_wheels not Ready; ball screw thread grinding process is not Ready,lead accuracy; straightness; surface hardness; finish; vacuum compatible lubricant interface,import_until_gap_resolved,medium,performance_flag:precision_motion;candidate_fit:accuracy_risk,CNC shaft machining is Ready but a ball screw shaft needs precision thread and ground race quality beyond the Ready route.
route_batch_04,ebf3_beam_current_return_flexible_conductor,ebf3_beam_current_return_strap,existing_route_as_leaf,0.32,aluminum_flexible_conductor,local_derived,defer_import_fallback,metal_wire_drawing_process_v0,power_cable_assembly_v0,labor_bot_general_v0,metal_wire_drawing_process_v0 needs drawing_die_set_basic not Ready and cable termination tools in power_cable_assembly_v0 are not Ready,current capacity; flexibility after thermal cycling; low contact resistance; vacuum compatible insulation or bare braid clearance,import_until_gap_resolved,medium,performance_flag:HV;performance_flag:thermal;candidate_fit:accuracy_risk,Aluminum is a better lunar candidate than copper but flexible high-current conductor fabrication and terminations are not Ready.
route_batch_04,ebf3_cabin_access_door_hinge_bushing_or_bearing_set,ebf3_cabin_access_door_hinge_set,implemented_split_child,0.5,steel_bushing_or_bearing_steel,local_derived,lunar_candidate_flagged,machining_basic_v0,assembly_basic_v0,multi_axis_cnc_machining_center;labor_bot_general_v0;assembly_tools_basic,none,hinge load; wear clearance; galling control; dry or vacuum compatible lubrication,sensitivity_flag,medium,performance_flag:motion;implemented_split_child,Can be modeled as locally machined steel bushing hardware if plain-bearing performance is acceptable; ball or sealed bearing interpretation remains a risk.
route_batch_04,ebf3_cabin_access_door_latch_fastener_interface_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.5,steel_fastener_interface,local_derived,lunar_candidate,machining_basic_v0,assembly_basic_v0,multi_axis_cnc_machining_center;labor_bot_general_v0;assembly_tools_basic,none,latch strength; thread fit; vibration retention,local_nominal,high,implemented_split_child,Ordinary latch interface hardware is compatible with local steel machining and basic assembly.
route_batch_04,ebf3_cabin_access_door_latch_strike_or_bar_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.8,steel_bar_or_strike,local_derived,lunar_candidate,machining_basic_v0,assembly_basic_v0,multi_axis_cnc_machining_center;labor_bot_general_v0;assembly_tools_basic,none,latch load path; wear face hardness; door alignment tolerance,local_nominal,high,implemented_split_child,Steel strike or bar is a simple local machined part with ordinary structural performance requirements.
route_batch_04,ebf3_cabin_gun_port_flange_ring,ebf3_cabin_gun_mounting_port,existing_route_as_leaf,5,steel_plate_or_ring,local_derived,lunar_candidate_flagged,machining_basic_v0,component_to_seal_from_raw_material_v0,multi_axis_cnc_machining_center;labor_bot_general_v0,none,vacuum sealing face flatness; bolt circle accuracy; low distortion; electron gun alignment stability,sensitivity_flag,medium,performance_flag:vacuum;performance_flag:electron_beam;candidate_fit:none,Steel flange stock can be machined locally with Ready CNC but vacuum leak performance and gun alignment need simulation flags.
route_batch_04,ebf3_cabin_positioning_floor_mount_plate,ebf3_cabin_positioning_mount_interface,existing_route_as_leaf,12,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,machining_basic_v0,mounting_bracket_steel_forming_v1,multi_axis_cnc_machining_center;labor_bot_general_v0,none,flatness; hole pattern tolerance; stiffness under positioning loads; vacuum compatible surface,sensitivity_flag,medium,performance_flag:interface_tolerance;performance_flag:vacuum;candidate_fit:accuracy_risk,Stock plate and machining are Ready enough but positioning datum quality and vacuum environment require a flagged route.
route_batch_04,ebf3_cabin_wire_feeder_port_flange_ring,ebf3_cabin_wire_feeder_mounting_port,existing_route_as_leaf,6,steel_plate_or_ring,local_derived,lunar_candidate_flagged,machining_basic_v0,component_to_seal_from_raw_material_v0,multi_axis_cnc_machining_center;labor_bot_general_v0,none,vacuum sealing face flatness; feedthrough alignment; bolt preload retention,sensitivity_flag,medium,performance_flag:vacuum;candidate_fit:none,Local steel machining is plausible but the vacuum port interface should carry a leak-rate flag.
