batch_id,item_id,parent_ids,source_queue_type,mass_nominal_kg,route_material_basis,availability_class,route_decision,primary_process_id,secondary_process_ids,ready_machine_ids,blocked_machine_or_process_reason,critical_performance_requirements,simulation_import_mass_policy,confidence,flags,reasoning_brief
route_batch_02,ebf3_anti_wear_guide_holder,ebf3_anti_wear_guide,existing_route_as_leaf,0.03,steel,local_derived,lunar_candidate_flagged,steel_shaft_machining_v0,machining_basic_v0;surface_finishing_am_parts_v0;assembly_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,guide alignment; wear surface; dry/vacuum lubrication compatibility,sensitivity_flag,medium,motion_precision;wear,Small steel holder is locally machinable with Ready CNC route but guide wear and vacuum lubrication make it a flagged local candidate.
route_batch_02,ebf3_axis_motor_mounting_feature_set,ebf3_axis_motors,existing_route_as_leaf,1,steel,local_derived,lunar_candidate_flagged,mounting_bracket_steel_forming_v0,steel_shaft_machining_v0;machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;alignment_tools,,motor alignment; fastener preload; vibration stiffness; vacuum lubricant isolation,sensitivity_flag,medium,motion_precision,Steel mounting features fit local forming and machining but motor alignment and preload interfaces must be tracked in simulation.
route_batch_02,ebf3_ball_nut_rolling_ball_set,ebf3_ball_nuts,existing_route_as_leaf,0.45,bearing_steel,local_derived,defer_import_fallback,bearing_set_heavy_production_v0,ball_bearing_machining_v0;assembly_process_bearing_v0,labor_bot_general_v0;assembly_tools_basic,bearing_set_heavy_production_v0 requires non-Ready lathe_engine_v0 heat_treatment_furnace_v0 and bearing_grinding_machine_v0; Ready ball_bearing_machining_v0 is too coarse for precision balls,ball grade roundness; hardness; preload; vacuum lubricant compatibility,import_until_gap_resolved,low,motion_precision;blocked_nonready_machine,Rolling balls need bearing-grade grinding and heat treatment beyond the Ready route so first simulation should import this mass.
route_batch_02,ebf3_z_axis_ball_screw_shaft,ebf3_ball_screw_shafts,existing_route_as_leaf,1,bearing_steel,local_derived,defer_import_fallback,ball_screw_fabrication_v0,steel_shaft_machining_v0;surface_finishing_am_parts_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,ball_screw_fabrication_v0 requires non-Ready precision_lathe; Ready shaft machining does not close thread accuracy or ground race quality,lead accuracy; thread/race finish; straightness; preload; vacuum lubricant compatibility,import_until_gap_resolved,low,motion_precision;blocked_nonready_machine,Ball screw shaft is plausible long term but first route should import until precision screw fabrication is Ready.
route_batch_02,ebf3_cabin_access_door_panel,ebf3_cabin_access_door,existing_route_as_leaf,13,steel_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,steel_ingot_cast_v0;sheet_making_from_ingot_v0;sealing_and_assembly_basic_v0;leak_test_v0,labor_bot_general_v0;casting_furnace_v0;assembly_tools_basic,,vacuum boundary stiffness; sealing face flatness; leak rate; low outgassing finish,sensitivity_flag,medium,vacuum_boundary,Steel sheet panel can be cut locally but chamber-door leak and sealing requirements prevent a clean local classification.
route_batch_02,ebf3_cabin_access_door_hinge_leaf_or_bracket_set,ebf3_cabin_access_door_hinge_set,implemented_split_child,0.9,steel,local_derived,lunar_candidate_flagged,mounting_bracket_steel_forming_v0,steel_shaft_machining_v0;assembly_basic_v0;leak_test_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,hinge alignment; cycle wear; vacuum-compatible finish; door seal load retention,sensitivity_flag,medium,vacuum_motion;implemented_split_child,Hinge leaves are locally formable steel hardware but door seal loading and vacuum wear make the route flagged.
route_batch_02,ebf3_cabin_access_door_latch_pivot_axle_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.4,steel,local_derived,lunar_candidate_flagged,steel_shaft_machining_v0,machining_basic_v0;assembly_basic_v0;surface_finishing_am_parts_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,pivot diameter tolerance; latch preload; wear; vacuum-compatible surface,sensitivity_flag,medium,vacuum_motion;implemented_split_child,Pivot and axle hardware can use steel machining but latch preload and dry wear should stay flagged.
route_batch_02,ebf3_cabin_frame_member_set,ebf3_cabin_frame,existing_route_as_leaf,24,steel_structural_stock,local_derived,lunar_candidate_flagged,steel_bar_stock_rolling_shop_v0,steel_ingot_cast_v0;machining_basic_v0;assembly_basic_v0,labor_bot_general_v0;casting_furnace_v0;rolling_mill_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,frame straightness; door/wall interface stiffness; vacuum-compatible joints,sensitivity_flag,medium,structural_vacuum_interface,Steel frame members are supported by Ready rolling and machining but cabin boundary interfaces require flagged stiffness and joint assumptions.
route_batch_02,ebf3_cabin_lighting_port_frame,ebf3_cabin_lighting_mount_and_port,existing_route_as_leaf,30,steel_structural_stock,local_derived,lunar_candidate_flagged,steel_bar_stock_rolling_shop_v0,steel_ingot_cast_v0;machining_basic_v0;sealing_and_assembly_basic_v0;leak_test_v0,labor_bot_general_v0;casting_furnace_v0;rolling_mill_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,port flatness; optical opening alignment; leak rate at attached seal; thermal distortion,sensitivity_flag,medium,vacuum_port,The heavy port frame is locally fabricable steel but port sealing and optical alignment are performance gates.
route_batch_02,ebf3_cabin_sacrificial_liner_retainer_set,ebf3_cabin_sacrificial_liner,existing_route_as_leaf,2,steel,local_derived,lunar_candidate_flagged,mounting_bracket_steel_forming_v0,sheet_metal_cutting_v0;assembly_basic_v0,labor_bot_general_v0;assembly_tools_basic,,retention under thermal cycling; low outgassing; replacement wear,sensitivity_flag,medium,vacuum_thermal,Simple retainers are local steel candidates but cabin vacuum and thermal cycling keep them flagged.
route_batch_02,ebf3_cabin_wall_panel_set,ebf3_cabin_wall_panels,existing_route_as_leaf,34,steel_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,steel_ingot_cast_v0;sheet_making_from_ingot_v0;sealing_and_assembly_basic_v0;leak_test_v0,labor_bot_general_v0;casting_furnace_v0;assembly_tools_basic,,vacuum wall leak rate; panel flatness; joint sealing; thermal distortion,sensitivity_flag,medium,vacuum_boundary,Wall panels are large local steel-sheet candidates but vacuum-boundary closure depends on sealing and test quality.
route_batch_02,ebf3_can_bus_interface_shield,ebf3_can_bus_interface,existing_route_as_leaf,0.1,aluminum_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,sheet_making_from_ingot_1mm_v0;assembly_basic_v0,labor_bot_general_v0;assembly_tools_basic,,EMI shielding continuity; grounding interface; electronics clearance,sensitivity_flag,medium,electronics_shield,Shield mass is locally formable aluminum or steel but electronics EMI and grounding performance remain flagged.
route_batch_02,ebf3_dc_link_busbar_set,ebf3_dc_link_capacitor_bank,existing_route_as_leaf,0.9,aluminum_conductor,local_derived,lunar_candidate_flagged,sheet_making_from_ingot_1mm_v0,aluminum_housing_machining_v0;assembly_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,current rating; temperature rise; creepage and clearance; bolted joint resistance,sensitivity_flag,medium,HV_power;aluminum_substitution,Aluminum busbar avoids copper scarcity and has Ready sheet and machining routes but current density and dielectric spacing must be modeled.
route_batch_02,ebf3_ebf_wire_guide_tip_body,ebf3_ebf_wire_guide_tip,existing_route_as_leaf,0.12,hardened_steel,local_derived,lunar_candidate_flagged,steel_shaft_machining_v0,surface_finishing_am_parts_v0;assembly_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,wire path tolerance; wear face finish; vacuum-compatible contact behavior,sensitivity_flag,medium,wire_feed_wear,Guide tip body is locally machinable but the wear surface and wire path tolerance are not ordinary structural requirements.
route_batch_02,ebf3_emi_filter_choke_bobbin_or_insulation_set,ebf3_emi_filter_choke_set,implemented_split_child,0.12,alumina_ceramic,local_derived,lunar_candidate_flagged,ceramic_block_small_production_v0,alumina_extraction_from_highlands_v0;ceramic_base_fabrication_v0;surface_finishing_am_parts_v0,labor_bot_general_v0;chemical_reactor_basic;multi_axis_cnc_machining_center,,dielectric strength; winding support geometry; thermal cycling; low outgassing,sensitivity_flag,medium,HV_insulation;magnetic_component;implemented_split_child,Alumina insulation has local-derived material support but choke dielectric and winding geometry need flagged validation.
route_batch_02,ebf3_emi_filter_choke_winding_set,ebf3_emi_filter_choke_set,implemented_split_child,0.3,copper_magnet_wire,scarce_trace,defer_import_fallback,wire_copper_magnet_production_v0,insulated_wire_formation_v0;spool_winding_basic_v0,labor_bot_general_v0;winding_drums,Copper is scarce in lunar material guidance and magnet-wire insulation quality is not closed despite Ready placeholder processes,current density; insulation class; EMI impedance; thermal rise; vacuum outgassing,import_until_gap_resolved,low,copper_scarcity;magnetic_component;implemented_split_child,The winding can be represented by KB wire processes but copper and magnet-wire insulation should import until a stronger route exists.
route_batch_02,ebf3_gun_control_electrode,ebf3_fixed_electron_beam_gun,existing_route_as_leaf,0.08,molybdenum_or_tungsten,scarce_trace,earth_import,,,,No Ready local molybdenum or tungsten electrode route closes trace feedstock plus precision electron-gun geometry,emission-adjacent geometry; thermal stability; HV bias insulation; low contamination,import_nominal,low,refractory_trace;electron_gun_precision,Control electrode is low mass but performance-critical refractory hardware and should be direct Earth import for the first simulation.
