batch_id,item_id,current_decision,current_policy,current_material,current_process,audit_verdict,proposed_decision,proposed_policy,severity,issue_type,reasoning,recommended_edit
route_batch_03,ebf3_anti_wear_guide_insert,route_gap,import_until_gap_resolved,alumina_ceramic_v0,ceramic_sintering_process_v0,keep,route_gap,import_until_gap_resolved,ok,ok,"Route_gap is appropriate: the material may be lunar-plausible, but the process, machine readiness, or performance qualification gap is explicit and first simulation imports until resolved.",No route decision edit; close the named machine/process/performance gap before moving to local sensitivity.
route_batch_03,ebf3_axis_limit_switch_actuator_set,lunar_candidate,local_nominal,steel,machining_basic_v0,keep,lunar_candidate,local_nominal,ok,ok,"Ordinary low-risk local metal hardware with Ready machine support; performance requirements do not cross the audit thresholds for HV, sealing, precision bearing, magnetic, spring fatigue, electronics qualification, or thermal-interface closure.",No edit recommended.
route_batch_03,ebf3_ball_nut_wiper_or_seal_set,earth_import,import_nominal,silicone_rubber_or_vacuum_polymer,,keep,earth_import,import_nominal,ok,ok,"Earth import is appropriate for scarce, specialty, precision, polymer/seal, electronics, refractory, or high-qualification hardware with no credible Ready local closure.",No edit recommended for first-pass simulation import policy.
route_batch_03,ebf3_beam_current_return_fastener_interface_set,lunar_candidate_flagged,sensitivity_flag,steel_fastener_interface,fastener_kit_small_fabrication_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_cabin_access_door_vacuum_seal,defer_import_fallback,import_until_gap_resolved,metal_gasket_or_imported_vacuum_elastomer,vacuum_seal_assembly_fabrication_v0,change,route_gap,import_until_gap_resolved,material,unclear_boundary,"A large cabin/chamber door seal is leak-critical and likely reusable technology; assembly labor alone does not close gasket material, springback/compression set, or leak verification.",Change decision to route_gap while keeping import_until_gap_resolved; keep metal-gasket or vacuum-elastomer material gap explicit.
route_batch_03,ebf3_cabin_access_door_hinge_pin_or_shaft_set,lunar_candidate_flagged,sensitivity_flag,steel,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_cabin_access_door_latch_return_spring_set,route_gap,import_until_gap_resolved,spring_steel,heat_treat_basic_v0,keep,route_gap,import_until_gap_resolved,ok,ok,"Route_gap is appropriate: the material may be lunar-plausible, but the process, machine readiness, or performance qualification gap is explicit and first simulation imports until resolved.",No route decision edit; close the named machine/process/performance gap before moving to local sensitivity.
route_batch_03,ebf3_cabin_frame_mounting_foot_set,lunar_candidate_flagged,sensitivity_flag,steel_structural_stock,frame_fabrication_from_raw_metal_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_cabin_lighting_shield_mount,lunar_candidate_flagged,sensitivity_flag,steel,frame_fabrication_from_raw_metal_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_cabin_wall_stiffener_set,lunar_candidate_flagged,sensitivity_flag,steel,frame_fabrication_from_raw_metal_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_heater_supply_enclosure,lunar_candidate_flagged,sensitivity_flag,steel,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_dc_link_mounting_frame,lunar_candidate_flagged,sensitivity_flag,steel_structural_stock,frame_fabrication_from_raw_metal_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_ebf_wire_guide_tip_mounting_feature,lunar_candidate_flagged,sensitivity_flag,steel,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_emi_filter_choke_core_set,route_gap,import_until_gap_resolved,iron_oxide_ferrite_or_electrical_steel_proxy,ferrite_sintering_process_v0,keep,route_gap,import_until_gap_resolved,ok,ok,"Route_gap is appropriate: the material may be lunar-plausible, but the process, machine readiness, or performance qualification gap is explicit and first simulation imports until resolved.",No route decision edit; close the named machine/process/performance gap before moving to local sensitivity.
route_batch_03,ebf3_feed_liner_end_ferrule_set,lunar_candidate_flagged,sensitivity_flag,steel,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_gun_control_electrode_insulator,earth_import,import_nominal,molybdenum_or_tungsten_refractory_part,,change,earth_import,import_nominal,material,wrong_material,"The item name says insulator, but the selected material is molybdenum/tungsten refractory electrode stock. Either ceramic-insulator or electrode geometry would still be import-first, but the material/name conflict should not stand.",Resolve whether this leaf is an HV ceramic insulator or a refractory control electrode; keep nominal import until the split is corrected.
route_batch_03,ebf3_floating_side_screw_bearing_block_body_set,lunar_candidate_flagged,sensitivity_flag,steel,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_full_bridge_heat_sink,lunar_candidate_flagged,sensitivity_flag,aluminum,aluminum_housing_machining_v1,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_gun_cathode_locating_clamp,earth_import,import_nominal,tungsten_or_tantalum_refractory_part,,keep,earth_import,import_nominal,ok,ok,"Earth import is appropriate for scarce, specialty, precision, polymer/seal, electronics, refractory, or high-qualification hardware with no credible Ready local closure.",No edit recommended for first-pass simulation import policy.
route_batch_03,ebf3_gun_column_body_shell,lunar_candidate_flagged,sensitivity_flag,steel,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_gun_dynamic_lens_coil_assembly,defer_import_fallback,import_until_gap_resolved,aluminum_or_copper_winding_with_soft_iron_core,coil_winding_basic_v0,change,route_gap,import_until_gap_resolved,material,unclear_boundary,"Electron-gun lens coils are core electromagnetic performance items. Coil winding uses a non-Ready coil_winding_machine and local conductor/insulation/field calibration are unresolved, making this a route gap rather than a deferred fallback.","Change decision to route_gap; retain import_until_gap_resolved until winding, insulation, vacuum outgassing, and magnetic field verification are modeled."
route_batch_03,ebf3_gun_feeder_wire_path_alignment_sleeve,lunar_candidate_flagged,sensitivity_flag,steel,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_gun_hv_insulator_field_grading_electrode_set,earth_import,import_nominal,molybdenum_or_tungsten_refractory_electrode,,keep,earth_import,import_nominal,ok,ok,"Earth import is appropriate for scarce, specialty, precision, polymer/seal, electronics, refractory, or high-qualification hardware with no credible Ready local closure.",No edit recommended for first-pass simulation import policy.
route_batch_03,ebf3_gun_main_lens_pole_pieces,lunar_candidate_flagged,sensitivity_flag,soft_iron_or_electrical_steel,machining_basic_v0,change,route_gap,import_until_gap_resolved,material,overoptimistic_flagged,"Soft iron/electrical steel availability and CNC machining do not prove pole-piece permeability, anneal state, pole geometry, and beam-lens magnetic performance.",Change to route_gap; require magnetic material property control and lens field/alignment validation before using as a local sensitivity case.
route_batch_03,ebf3_gun_signal_shield_termination_interface,lunar_candidate_flagged,sensitivity_flag,aluminum_or_steel_shield_interface,sheet_making_from_ingot_to_metal_sheet_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Flagged local sensitivity case is appropriate: material/forming route uses Ready machines, while the listed performance requirement remains explicit rather than treated as clean local closure.",Keep flagged local sensitivity treatment and preserve the performance flag in any downstream route edits.
route_batch_03,ebf3_gun_deflection_x_coil_pair,defer_import_fallback,import_until_gap_resolved,aluminum_or_copper_winding_with_insulation,coil_winding_basic_v0,change,route_gap,import_until_gap_resolved,material,unclear_boundary,"Deflection coils directly control beam steering. The route depends on non-Ready winding equipment plus unproven conductor insulation, symmetry, heat rejection, and calibration.",Change decision to route_gap; keep first simulation import_until_gap_resolved.
route_batch_03,ebf3_hv_cable_central_conductor,route_gap,import_until_gap_resolved,aluminum_conductor,wire_drawing_aluminum_v0,keep,route_gap,import_until_gap_resolved,ok,ok,"Route_gap is appropriate: the material may be lunar-plausible, but the process, machine readiness, or performance qualification gap is explicit and first simulation imports until resolved.",No route decision edit; close the named machine/process/performance gap before moving to local sensitivity.
