batch_id,item_id,current_decision,current_policy,current_material,current_process,audit_verdict,proposed_decision,proposed_policy,severity,issue_type,reasoning,recommended_edit
route_batch_02,ebf3_anti_wear_guide_holder,lunar_candidate_flagged,sensitivity_flag,steel,steel_shaft_machining_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_axis_motor_mounting_feature_set,lunar_candidate_flagged,sensitivity_flag,steel,mounting_bracket_steel_forming_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_ball_nut_rolling_ball_set,defer_import_fallback,import_until_gap_resolved,bearing_steel,bearing_set_heavy_production_v0,change,route_gap,import_until_gap_resolved,material,unclear_boundary,"Precision rolling balls are worth eventual lunar closure, but bearing-grade roundness, hardening, grinding, preload, and vacuum lubrication are not supported by the Ready route; defer understates this as a concrete route gap.","Change route_decision to route_gap; keep import_until_gap_resolved; note missing bearing grinding, heat treatment, inspection, and lubricant qualification route."
route_batch_02,ebf3_z_axis_ball_screw_shaft,defer_import_fallback,import_until_gap_resolved,bearing_steel,ball_screw_fabrication_v0,change,route_gap,import_until_gap_resolved,material,unclear_boundary,"A ball-screw shaft is a core precision motion component and the current Ready CNC route only supports coarse steel machining, not lead accuracy, ground race finish, straightness, or preload behavior.",Change route_decision to route_gap; keep import_until_gap_resolved until precision screw grinding/inspection and vacuum lubricant route exist.
route_batch_02,ebf3_cabin_access_door_panel,route_gap,import_until_gap_resolved,steel_sheet,sheet_metal_cutting_v0,keep,route_gap,import_until_gap_resolved,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_cabin_access_door_hinge_leaf_or_bracket_set,lunar_candidate_flagged,sensitivity_flag,steel,mounting_bracket_steel_forming_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_cabin_access_door_latch_pivot_axle_set,lunar_candidate_flagged,sensitivity_flag,steel,steel_shaft_machining_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_cabin_frame_member_set,lunar_candidate_flagged,sensitivity_flag,steel_structural_stock,steel_bar_stock_rolling_shop_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_cabin_lighting_port_frame,route_gap,import_until_gap_resolved,steel_structural_stock,steel_bar_stock_rolling_shop_v0,keep,route_gap,import_until_gap_resolved,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_cabin_sacrificial_liner_retainer_set,lunar_candidate_flagged,sensitivity_flag,steel,mounting_bracket_steel_forming_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_cabin_wall_panel_set,route_gap,import_until_gap_resolved,steel_sheet,sheet_metal_cutting_v0,keep,route_gap,import_until_gap_resolved,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_can_bus_interface_shield,lunar_candidate_flagged,sensitivity_flag,aluminum_sheet,sheet_metal_cutting_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_dc_link_busbar_set,lunar_candidate_flagged,sensitivity_flag,aluminum_conductor,sheet_making_from_ingot_1mm_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_ebf_wire_guide_tip_body,lunar_candidate_flagged,sensitivity_flag,hardened_steel,steel_shaft_machining_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_emi_filter_choke_bobbin_or_insulation_set,lunar_candidate_flagged,sensitivity_flag,alumina_ceramic,ceramic_block_small_production_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_emi_filter_choke_winding_set,defer_import_fallback,import_until_gap_resolved,copper_magnet_wire,wire_copper_magnet_production_v0,change,earth_import,import_nominal,material,overoptimistic_local,"Copper magnet wire is explicitly scarce/high-risk in the lunar material guide, and the Ready winding route does not close enamel/insulation class, EMI impedance, thermal rise, or vacuum outgassing.",Change to earth_import/import_nominal; clear local process/machine fields or leave only as rejected future-route notes.
route_batch_02,ebf3_gun_column_optical_axis_datum_set,lunar_candidate_flagged,sensitivity_flag,precision_steel,steel_shaft_machining_v0,change,route_gap,import_until_gap_resolved,material,overoptimistic_flagged,"The steel stock is local-derived, but electron-gun optical-axis datum stability is a metrology and alignment closure problem; Ready CNC/alignment tools do not prove the required thermal drift, surface, or beam-axis performance.",Change to route_gap/import_until_gap_resolved and add a missing metrology/alignment acceptance route for the gun column datum.
route_batch_02,ebf3_gun_control_electrode,earth_import,import_nominal,molybdenum_or_tungsten,,keep,earth_import,import_nominal,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_gun_feeder_adapter_body,lunar_candidate_flagged,sensitivity_flag,steel,steel_shaft_machining_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
route_batch_02,ebf3_gun_hv_insulator_ceramic_body,lunar_candidate_flagged,sensitivity_flag,alumina_ceramic,ceramic_block_small_production_v0,change,route_gap,import_until_gap_resolved,material,overoptimistic_flagged,"Local alumina supports material availability, but a gun HV insulator needs dielectric strength, creepage geometry, vacuum cleanliness, and electron-gun geometry qualification that the Ready ceramic route does not close.","Change to route_gap/import_until_gap_resolved until HV ceramic forming, cleaning, dielectric test, and geometry inspection routes are explicit."
route_batch_02,ebf3_gun_main_lens_coil_assembly,earth_import,import_nominal,copper_magnet_wire,wire_copper_magnet_production_v0,change,earth_import,import_nominal,minor,wrong_process,"The earth_import decision is right for a copper magnet-wire beam-focus coil, but retaining wire and winding processes in the selected route can imply a usable local path that the row itself rejects.",Keep earth_import/import_nominal; clear primary/secondary process and ready_machine fields or move them to rejected-route notes.
route_batch_02,ebf3_gun_secondary_pickup_insulator,lunar_candidate_flagged,sensitivity_flag,alumina_ceramic,ceramic_block_small_production_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,"Decision, policy, material availability, and selected route are semantically aligned for this level of modeling; performance risks are either low or already handled by the current flag/import/gap boundary.",No edit recommended.
